MSE:180.5,,,,,,,,,13.43502884,,,,,,,,,,,,,
"predict(linearModel, dat[test, ])",Category,TypeProduct_Desc,STYLE,Retail_SubClass_Desc,Style_Estimated_Cost,Gender_Desc,Country_Cd,eaFabricCost,eaCMCost,eaTrimCost,eaArtCost,eaWashCost,eaOtherCost,eaFOB,LandingCosts,All.empty,Selling.Season,Yesr,Month,Made.Year,Minimum.Wage..USD.,
36.65341767,_APPAREL,WOVEN,Apparel,Mens Top,176.0598,Men,BD,78.33,39.9,9.66,0,3.15,9.03,140.07,35.9898,No,Spring,2017,7,2016,67.84,10.54029683
9.698874129,_APPAREL,KNIT,Bottoms,Knit Short,53.214,Boy,BD,25.2,8.4,6.09,0,0.84,1.26,53.214,17.4405,No,Summer,2017,10,2016,67.84,1.687074002
8.252507802,_APPAREL,KNIT,Bottoms,Basic Knit Short,44.3751,Girl,BD,19.95,8.4,4.2,0,0.84,1.47,44.3751,18.3813,No,Summer,2017,10,2016,67.84,0.021753949
8.252507802,_APPAREL,KNIT,Bottoms,Basic Knit Short,44.3751,Girl,BD,19.95,8.4,4.2,0,1.05,1.26,44.3751,18.3813,No,Summer,2017,10,2016,67.84,0.021753949
8.252507802,_APPAREL,KNIT,Bottoms,Basic Short,42.3108,Girl,BD,19.11,8.4,3.57,0,0.84,1.26,42.3108,18.5031,No,Summer,2017,10,2016,67.84,0.021753949
8.252507802,_APPAREL,KNIT,Bottoms,Basic Knit Short,44.3751,Girl,BD,17.85,10.5,4.2,0,0.84,1.47,44.3751,18.3813,No,Summer,2017,10,2016,67.84,5.051221182
8.252507802,_APPAREL,KNIT,Bottoms,Basic Knit Short,48.2475,Girl,BD,21,10.5,4.2,0,0.84,1.47,48.2475,18.1524,No,Summer,2017,10,2016,67.84,5.051221182
9.698874129,_APPAREL,KNIT,Bottoms,Knit Short,77.1099,Boy,BD,40.95,12.6,6.3,0,1.05,1.05,77.1099,16.9302,No,Summer,2017,10,2016,67.84,8.416531321
9.698874129,_APPAREL,KNIT,Bottoms,Knit Short,56.595,Boy,BD,23.52,12.6,6.3,0,0.84,1.26,56.595,18.0117,No,Summer,2017,10,2016,67.84,8.416531321
9.698874129,_APPAREL,KNIT,Bottoms,Knit Short,69.0627,Boy,BD,34.86,12.6,4.2,0,0.84,2.1,69.0627,17.3544,No,Summer,2017,10,2016,67.84,8.416531321
9.698874129,_APPAREL,KNIT,Bottoms,Knit Short,69.0627,Boy,BD,33.6,12.6,6.3,0,1.05,1.05,69.0627,17.3544,No,Summer,2017,10,2016,67.84,8.416531321
9.698874129,_APPAREL,KNIT,Bottoms,Knit Short,69.2916,Boy,BD,33.6,12.6,6.3,0,1.05,1.05,69.2916,16.3632,No,Summer,2017,10,2016,67.84,8.416531321
9.698874129,_APPAREL,KNIT,Bottoms,Knit Short,60.9525,Boy,BD,27.3,14.28,4.2,0,1.05,1.05,60.9525,16.9218,No,Summer,2017,10,2016,67.84,20.98671425
9.698874129,_APPAREL,KNIT,Bottoms,Knit Short,56.5908,Boy,BD,18.69,16.8,6.3,0,2.1,2.1,56.5908,18.0117,No,Summer,2017,10,2016,67.84,50.42598864
9.698874129,_APPAREL,KNIT,Bottoms,Knit Short,66.1647,Boy,BD,21,19.74,8.4,0,0.84,2.1,66.1647,17.5077,No,Summer,2017,10,2016,67.84,100.8242088
8.161539131,_APPAREL,KNIT,Bottoms,Knit Pant,91.14,Boy,BD,42,21,4.2,0,2.1,3.15,72.45,18.69,No,Spring,2017,7,2016,67.84,164.8260775
8.161539131,_APPAREL,KNIT,Bottoms,Knit Pant,105.777,Boy,BD,49.35,25.2,4.2,0,2.1,3.15,84,21.777,No,Spring,2017,7,2016,67.84,290.3091488
