Category,TypeProduct_Desc,STYLE,Retail_SubClass_Desc,Style_Estimated_Cost,Gender_Desc,Country_Cd,eaFabricCost,eaCMCost,eaTrimCost,eaArtCost,eaWashCost,eaOtherCost,eaFOB,LandingCosts,All.empty,Selling Season,Yesr,Month,Made Year,Minimum Wage (USD)
ACCESSORIES,HAIR,Accessories,Hair Accessory,34.5114,Girl,CN,10.5,8.4,4.2,0,0,6.3,29.4,5.1114,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Accessories,Hair Accessory,34.5114,Girl,CN,9.45,8.4,4.2,0,0,7.35,29.4,5.1114,No,Winter,2016,1,2016,309.31922
_APPAREL,KNIT,Apparel,Swim,95.424,Girl,CN,27.3,16.8,0,23.1,0,0,67.2,28.224,No,Winter,2016,1,2016,309.31922
SLEEPWEAR,SLEEP,Apparel,Sleepwear,231.189,Boy,CN,107.73,18.06,14.7,0,0,88.41,228.9,2.289,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,110.8926,Boy,CN,40.53,19.95,11.97,0,0,6.3,78.75,32.1426,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,112.3458,Boy,CN,48.3,21,0,4.2,0,6.3,79.8,32.5458,No,Winter,2015,1,2015,289.59276
SLEEPWEAR,SLEEP,Apparel,Sleepwear,225.8865,Boy,CN,97.44,23.1,9.45,0,0,93.66,223.65,2.2365,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,149.5725,Girl,CN,61.32,25.2,1.68,23.1,0,0,111.3,38.2725,No,Winter,2016,1,2016,309.31922
_APPAREL,KNIT,Apparel,Swim,111.0354,Boy,VN,30.45,25.2,0,3.15,0,19.95,78.75,32.2854,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Apparel,Swim,103.1541,Boy,VN,30.45,25.2,0,6.3,0,11.13,73.08,30.0741,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Apparel,Swim,128.331,Girl,CN,27.3,26.88,1.68,35.49,0,4.2,95.55,32.781,No,Winter,2016,1,2016,309.31922
SLEEPWEAR,SLEEP,Apparel,Sleepwear,229.068,Girl,CN,90.09,27.93,14.7,0,0,94.08,226.8,2.268,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,122.0373,Girl,VN,42,28.35,0,0,0,20.37,90.72,31.3173,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Apparel,Swim,140.3304,Girl,CN,30.24,29.4,3.36,38.43,0,3.15,104.58,35.7504,No,Winter,2016,1,2016,309.31922
_APPAREL,KNIT,Apparel,Swim,162.4497,Girl,VN,98.28,29.4,8.4,0,2.1,0,138.18,24.2697,No,Winter,2016,1,2016,107.9616
_APPAREL,WOVEN,Apparel,Mens Top,166.0869,Men,BD,88.2,29.82,7.77,0,1.68,5.88,133.35,32.7369,No,Winter,2015,1,2015,68.37
_APPAREL,KNIT,Apparel,Swim,117.2934,Girl,VN,35.7,30.45,0,0,0,21,87.15,30.1434,No,Winter,2016,1,2016,107.9616
_APPAREL,WOVEN,Apparel,Swim,141.6303,Boy,VN,36.12,31.5,4.83,18.9,0,11.55,102.9,38.7303,No,Winter,2015,1,2015,100.85865
SLEEPWEAR,SLEEP,Apparel,Sleepwear,225.8865,Boy,CN,89.25,31.5,14.7,0,0,88.2,223.65,2.2365,No,Winter,2016,1,2016,309.31922
SLEEPWEAR,SLEEP,Apparel,Sleepwear,223.7655,Boy,CN,83.58,31.5,14.7,0,0,91.77,221.55,2.2155,No,Winter,2016,1,2016,309.31922
SLEEPWEAR,SLEEP,Apparel,Sleepwear,223.7655,Girl,CN,83.58,31.5,14.7,0,0,91.77,221.55,2.2155,No,Winter,2016,1,2016,309.31922
_APPAREL,KNIT,Apparel,Swim,161.1267,Girl,VN,56.7,31.5,17.85,0,0,16.8,122.85,38.2767,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Apparel,Swim,150.2088,Girl,VN,55.86,32.55,6.3,0,0,19.74,114.45,35.7588,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Apparel,Swim,107.2029,Girl,VN,28.35,33.6,0,0,0,19.95,81.9,25.3029,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Apparel,Swim,137.928,Girl,VN,53.55,33.6,0,0,0,17.85,105,32.928,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Apparel,Swim,104.0949,Girl,CN,43.68,34.65,0,0,0,1.26,79.59,24.5049,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,162.4896,Girl,VN,64.26,34.65,0,0,0,24.99,123.9,38.5896,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Apparel,Swim,122.8752,Girl,VN,49.35,35.28,0,0,0,2.52,91.35,31.5252,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Apparel,Swim,100.6992,Girl,CN,38.01,35.7,0,0,0,1.05,74.76,25.9392,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,105.4452,Girl,CN,41.58,35.7,0,0,0,1.05,78.33,27.1152,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,115.2102,Girl,CN,40.32,35.7,1.68,8.4,0,2.1,88.2,27.0102,No,Winter,2016,1,2016,309.31922
_APPAREL,KNIT,Apparel,Swim,124.0953,Girl,VN,45.15,35.7,10.92,11.55,2.1,0,105.42,18.6753,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Apparel,Swim,114.744,Girl,VN,36.75,35.7,0,0,0,18.9,91.35,23.394,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Apparel,Swim,116.6088,Girl,CN,48.93,36.75,0,0,0,1.05,86.73,29.8788,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,141.183,Girl,CN,39.27,36.75,1.68,23.1,0,4.2,105,36.183,No,Winter,2016,1,2016,309.31922
_APPAREL,KNIT,Apparel,Swim,151.5738,Girl,VN,58.8,36.75,0,0,0,19.95,115.5,36.0738,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Apparel,Swim,179.214,Girl,CN,70.35,37.8,0,17.85,0,1.05,127.05,52.164,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,128.0517,Girl,CN,42.63,37.8,2.1,11.76,0,1.05,95.34,32.7117,No,Winter,2015,1,2015,289.59276
_APPAREL,WOVEN,Apparel,Swim,134.4798,Boy,VN,36.12,38.85,4.83,6.3,0,11.55,97.65,36.8298,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Apparel,Swim,108.5595,Girl,VN,24.15,38.85,0,0,0,19.95,82.95,25.6095,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Apparel,Swim,164.1444,Girl,VN,63,38.85,0,0,0,18.9,120.75,43.3944,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Apparel,Swim,154.3038,Girl,VN,55.65,38.85,0,0,0,23.1,117.6,36.7038,No,Winter,2016,1,2016,107.9616
SLEEPWEAR,SLEEP,Apparel,Sleepwear,230.1285,Girl,CN,81.06,39.06,12.6,0,0,95.13,227.85,2.2785,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,111.6864,Girl,CN,44.31,39.9,0,0,0,1.26,85.47,26.2164,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,125.034,Girl,CN,51.87,39.9,1.68,0,0,6.3,99.75,25.284,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,163.7286,Girl,CN,69.09,39.9,7.56,8.4,0,4.2,124.95,38.7786,No,Winter,2015,1,2015,289.59276
_APPAREL,WOVEN,Apparel,Swim,118.7466,Boy,VN,29.82,39.9,11.34,1.89,0,3.15,86.1,32.6466,No,Winter,2016,1,2016,107.9616
_APPAREL,WOVEN,Apparel,Swim,127.3272,Boy,VN,29.61,40.95,10.5,8.19,0,3.15,92.4,34.9272,No,Winter,2016,1,2016,107.9616
_APPAREL,WOVEN,Apparel,Swim,134.4798,None,VN,41.16,40.95,10.5,1.89,0,3.15,97.65,36.8298,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Apparel,Swim,148.8438,Girl,VN,49.35,40.95,0,0,0,23.1,113.4,35.4438,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Apparel,Swim,158.2707,None,CN,40.95,42,33.6,0,0,4.2,120.75,37.5207,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,167.454,Girl,CN,47.67,42,1.68,23.1,0,4.2,118.65,48.804,No,Winter,2016,1,2016,309.31922
_APPAREL,KNIT,Apparel,Swim,158.2707,Girl,CN,67.62,43.05,7.98,0,0,2.1,120.75,37.5207,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,171.108,Girl,CN,59.22,44.1,0,23.1,0,1.05,127.47,43.638,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,138.054,Girl,CN,53.13,44.1,6.72,0,0,6.3,110.25,27.804,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,162.3636,Girl,CN,42.84,44.1,3.36,29.4,0,4.2,123.9,38.4636,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,158.2707,Girl,CN,68.67,44.1,1.68,0,0,6.3,120.75,37.5207,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,158.2707,Girl,CN,64.05,44.1,6.3,0,0,6.3,120.75,37.5207,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,130.368,Girl,VN,39.9,44.1,0,0,0,19.95,103.95,26.418,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Apparel,Swim,165.0936,Girl,CN,64.89,45.15,3.36,8.4,0,4.2,126,39.0936,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,168.3108,Girl,CN,61.11,46.2,0,16.8,0,1.26,125.37,42.9408,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,126.4536,Girl,CN,52.92,46.2,6.3,0,0,2.1,107.52,18.9336,No,Winter,2016,1,2016,309.31922
_APPAREL,KNIT,Apparel,Swim,105.8484,Girl,VN,31.29,47.04,0,0,0,2.52,80.85,24.9984,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Apparel,Swim,162.9096,Girl,CN,63,47.25,7.77,4.2,0,2.1,124.32,38.5896,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Apparel,Swim,147.9576,Girl,CN,65.1,47.25,10.5,0,0,3.15,126,21.9576,No,Winter,2016,1,2016,309.31922
_APPAREL,KNIT,Apparel,Swim,151.914,Girl,CN,63,49.35,1.05,8.4,0,4.2,126,25.914,No,Winter,2015,1,2015,289.59276
SLEEPWEAR,SLEEP,Apparel,Sleepwear,227.3712,Girl,CN,74.13,50.4,12.6,0,0,87.99,225.12,2.2512,No,Winter,2016,1,2016,309.31922
_APPAREL,KNIT,Apparel,Swim,152.8128,Girl,CN,53.34,52.5,7.56,0,0,3.15,116.55,36.2628,No,Winter,2016,1,2016,309.31922
_APPAREL,WOVEN,Apparel,Swim,181.314,Girl,CN,46.2,63,37.8,0,0,6.3,153.3,28.014,No,Winter,2016,1,2016,309.31922
_APPAREL,SWEATER,Apparel,Swim,223.5093,Girl,CN,18.48,132.51,21.42,0,0,8.19,180.6,42.9093,No,Winter,2016,1,2016,309.31922
